Trait code,Trait name,Life stage,Life history process,priority,db_table,db_column,status,import
surv1,Resprouting - full canopy scorch,Standing plant,Survival,Belinda,litrev.surv1,norm_value,test,python script
surv2,Basal scorch response (canopy <100% scorch),Standing plant,Survival,,,,,
surv3,Resprouting -basal scorch,Standing plant,Survival,,,,,
surv4,Regenerative Organ,Standing plant,Survival,Belinda,litrev.surv4,norm_value,test,python script
surv5,Standing plant longevity (Max),Standing plant,Survival,Belinda,litrev.surv5,best,test,python script
surv6,Seedbank half-life,Seed,Survival,Belinda,litrev.surv6,best,test,python script
surv7,Seed longevity,Seed,Survival,Belinda,litrev.surv7,best,test,python script
grow1,Age for development of regenerative/resistance organs,Standing plant,Growth,2nd tranche,litrev.grow1,best,test,python script
grow2,Age at maximum growth stage,Standing plant,Growth,,,,,
grow2a,Maximum growth stage,Standing plant,Growth,,,,,
grow3,Maximum bark thickness,Standing plant,Growth,,,,,
grow4,Maximum plant height,Standing plant,Growth,,,,,
repr1,Flowering time,Standing plant,Reproduction,,,,,
repr2,Post-fire flowering response,Standing plant,Reproduction,2nd tranche,litrev.repr2,norm_value,test,python script
repr3,Age at first flower production,Standing plant,Reproduction,1st tranche,litrev.repr3,best,test,python script
repr3a,Time to first postfire reproduction (from resprouts),Standing plant,Reproduction,Additional,litrev.repr3a,best,test,python script
repr4,Maturation age,Standing plant,Reproduction,1st tranche,litrev.repr4,best,test,python script
repr5,Age at maximum seed production,Standing plant,Reproduction,,,,,
repr6,Age of maximum seed bank size,Standing plant,Reproduction,,,,,
repr7a,Resprout flowering response to summer fire,Standing plant,Reproduction,,,,,
repr7b,Flowering response to autumn fire,Standing plant,Reproduction,,,,,
repr7c,Flowering response to winter fire,Standing plant,Reproduction,,,,,
repr7d,Flowering response to spring fire,Standing plant,Reproduction,,,,,
germ1,Seedbank Type,Seed,Germination,2nd tranche,litrev.germ1,norm_value,test,python script
germ2,Heat-pulse-cued germination,Seed,Germination,,,,,
germ3,Smoke-cued germination,Seed,Germination,,,,,
germ4,Heat shock-smoke interactive germination cue,Seed,Germination,,,,,
germ5,H50,Seed,Germination,,,,,
germ6,H-max,Seed,Germination,,,,,
germ7,H-lethal,Seed,Germination,,,,,
germ8,Seed dormancy type,Seed,Germination,1st tranche,litrev.germ8,norm_value,test,python script
germ9,???,,,,,,,
rect1,Postfire seedling recruitment,Seedling,Recruitment,,,,,
rect2,Establishment pattern,Seedling,Recruitment,Belinda,litrev.rect2,norm_value,test,python script
rect3,Seedling emergence phenology,Seedling,Recruitment,,,,,
rect3a,Seedling emergence phenology - rainfall context,Seedling,Recruitment,,,,,
disp1,Propagule dispersal mode,Seed,Dispersal,,,,,
